epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.787009,1.54517,4.75539,1.46762,0,0,0,0,0,43.9375,0,6e-05,6e-05,6e-05
2,1.08422,1.43934,5.04204,1.39004,0,0,0,0,0,43.9375,0,0.000137228,0.000137228,0.000137228
3,1.40579,1.34775,4.68249,1.42742,0,0,0,0,0,44,0,0.000211288,0.000211288,0.000211288
4,1.7269,1.27296,4.15903,1.25669,0,0,0,0,0,44.0625,0,0.00028218,0.00028218,0.00028218
5,2.04999,1.22639,3.36578,1.2036,0,0,0,0,0,44.1875,0,0.000349904,0.000349904,0.000349904
6,2.36309,1.10512,3.26526,1.09696,0,0,0,0,0,44.1562,0,0.00041446,0.00041446,0.00041446
7,2.68147,1.15771,2.50322,1.11312,0,0,0,0,0,44.0625,0,0.000475848,0.000475848,0.000475848
8,2.99896,0.90908,2.41935,1.00133,0,0,0,0,0,44.0938,0,0.000534068,0.000534068,0.000534068
9,3.31241,1.02078,2.44329,1.02901,0,0,0,0,0,44.125,0,0.00058912,0.00058912,0.00058912
10,3.64108,1.06328,2.595,1.03299,0,0,0,0,0,44.0938,0,0.000641004,0.000641004,0.000641004
11,3.97224,0.97738,2.38987,0.97502,0,0,0,0,0,44.0625,0,0.00068972,0.00068972,0.00068972
12,4.29681,1.03684,2.28412,0.98642,0,0,0,0,0,44.0312,0,0.000735268,0.000735268,0.000735268
13,4.60746,1.26115,2.49162,1.23592,0,0,0,0,0,43.875,0,0.000777648,0.000777648,0.000777648
14,4.93666,1.22703,3.13393,1.23959,0,0,0,0,0,43.4375,0,0.00081686,0.00081686,0.00081686
15,5.26006,1.0438,2.56531,1.04064,0,0,0,0,0,42.2812,0,0.000852904,0.000852904,0.000852904
16,5.57519,1.03875,2.47826,1.07754,0,0,0,0,0,42.2812,0,0.00088578,0.00088578,0.00088578
17,5.89888,1.02822,2.50239,1.09329,0,0,0,0,0,41.1875,0,0.000915488,0.000915488,0.000915488
18,6.21349,0.95498,2.82034,1.05186,0,0,0,0,0,41.1875,0,0.000942028,0.000942028,0.000942028
19,6.53465,1.0866,2.5655,1.16959,0,0,0,0,0,41.1875,0,0.0009654,0.0009654,0.0009654
