epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0155,1.29604,2.08596,1.20587,0.74182,0.67722,0.73347,0.42619,1.36702,1.72525,1.25277,0.000664466,0.000664466,0.000664466
2,19.4825,1.33335,1.8348,1.19848,0.77755,0.73005,0.79033,0.45263,1.28038,1.749,1.28377,0.00130478,0.00130478,0.00130478
3,30.1543,1.37674,1.76639,1.27163,0.78061,0.81072,0.82003,0.48334,1.36773,1.56294,1.31558,0.00191869,0.00191869,0.00191869
4,39.4996,1.40321,1.57846,1.27642,0.82808,0.76214,0.82166,0.45772,1.45888,1.5691,1.33253,0.0018812,0.0018812,0.0018812
5,48.6941,1.37856,1.47645,1.27842,0.80086,0.87342,0.88306,0.56328,1.29595,1.09339,1.23671,0.0018416,0.0018416,0.0018416
6,58.0065,1.34356,1.27675,1.29406,0.75834,0.87389,0.86082,0.51326,1.29509,1.12568,1.28309,0.001802,0.001802,0.001802
